id,created,modified,logo,safa_id,name,acronym,website,headquarters,description,association_id,region_id
150,2025-06-09 13:24:17.872452,2025-06-09 13:24:17.872472,,3LE2L,SAFA UMKHOMAZI LFA,,,,,4,20
151,2025-06-09 13:24:17.874690,2025-06-09 13:24:17.874710,,KEJLU,SAFA VERULAM LF LFA,,,,,4,20
152,2025-06-09 13:25:25.999360,2025-06-09 13:25:25.999399,,UM88U,SAFA EBUHLEBEZWE LFA,,,,,4,21
153,2025-06-09 13:25:26.002304,2025-06-09 13:25:26.002328,,EQ7PN,SAFA GREATER KOKSTAD LFA,,,,,4,21
154,2025-06-09 13:25:26.004630,2025-06-09 13:25:26.004671,,1T5O9,SAFA INGWE LFA,,,,,4,21
155,2025-06-09 13:25:26.007291,2025-06-09 13:25:26.007320,,QSU59,SAFA KWA SANI LFA,,,,,4,21
156,2025-06-09 13:25:26.010217,2025-06-09 13:25:26.010243,,MJUY1,SAFA UMZIMKHULU LFA,,,,,4,21
157,2025-06-09 13:26:15.222797,2025-06-09 13:26:15.222833,,L73FZ,SAFA KWADUKUZA LFA,,,,,4,22
158,2025-06-09 13:26:15.225688,2025-06-09 13:26:15.225713,,7VNVF,SAFA MANDENI LFA,,,,,4,22
159,2025-06-09 13:26:15.227890,2025-06-09 13:26:15.227910,,FP6R6,SAFA MAPHUMULO LFA,,,,,4,22
160,2025-06-09 13:26:15.230062,2025-06-09 13:26:15.230082,,LUR5A,SAFA NDWENDWE LFA,,,,,4,22
161,2025-06-09 13:27:11.256159,2025-06-09 13:27:11.256217,,IJ1QW,SAFA MFOLOZI LFA,,,,,4,23
162,2025-06-09 13:27:11.260634,2025-06-09 13:27:11.260699,,E2LQI,SAFA MTAMBANANA LFA,,,,,4,23
163,2025-06-09 13:27:11.263059,2025-06-09 13:27:11.263082,,HAR13,SAFA MTHONJANENI LFA,,,,,4,23
164,2025-06-09 13:27:11.265375,2025-06-09 13:27:11.265398,,X5IXX,SAFA NKANDLA LFA,,,,,4,23
165,2025-06-09 13:27:11.267796,2025-06-09 13:27:11.267816,,Q32B0,SAFA UMLALAZI LFA,,,,,4,23
166,2025-06-09 13:27:11.269932,2025-06-09 13:27:11.269951,,XW5R2,SAFA UMHLATHUZE LFA,,,,,4,23
167,2025-06-09 13:28:11.027317,2025-06-09 13:28:11.027352,,UWPTR,SAFA EZINGOLENI LFA,,,,,4,24
168,2025-06-09 13:28:11.030512,2025-06-09 13:28:11.030544,,CVFTX,SAFA HIBISCUS LFA,,,,,4,24
169,2025-06-09 13:28:11.033340,2025-06-09 13:28:11.033387,,5AYHX,SAFA UMDONI LFA,,,,,4,24
170,2025-06-09 13:28:11.035818,2025-06-09 13:28:11.035839,,QR0VO,SAFA UMUZIWABANTU LFA,,,,,4,24
171,2025-06-09 13:28:11.038557,2025-06-09 13:28:11.038588,,MXO7P,SAFA UMZUMBE LFA,,,,,4,24
172,2025-06-09 13:29:45.710407,2025-06-09 13:29:45.710470,,RXUQS,SAFA IMPENDLE LFA,,,,,4,25
173,2025-06-09 13:29:45.713938,2025-06-09 13:29:45.713966,,4XZKV,SAFA MKHAMBATHINI LFA,,,,,4,25
174,2025-06-09 13:29:45.716542,2025-06-09 13:29:45.716565,,V5MU5,SAFA MPOFANA LFA,,,,,4,25
175,2025-06-09 13:29:45.718944,2025-06-09 13:29:45.718967,,R50U9,SAFA MSUNDUZI LFA,,,,,4,25
176,2025-06-09 13:29:45.721782,2025-06-09 13:29:45.721816,,BQ9FX,SAFA RICHMOND LFA,,,,,4,25
177,2025-06-09 13:29:45.724365,2025-06-09 13:29:45.724392,,UU3BN,SAFA UMNGENI LFA,,,,,4,25
178,2025-06-09 13:29:45.726988,2025-06-09 13:29:45.727012,,5QDVC,SAFA UMSHWATI LFA,,,,,4,25
179,2025-06-09 13:30:46.730926,2025-06-09 13:30:46.730961,,QKHKS,SAFA HLABISA LFA,,,,,4,26
